idTicket,idEmpresa,empresaNombre,idUsuario,fechaEmision,horaEmision,metodoPago,estacion,lineas,baseImponible,iva,total,moneda,tipoDocumento
T-878FE4C87D6A,EMP001,Transporte_01 S.L.,EMP001-U001,2025-05-24,13:19:23,Efectivo,"{'id': '218', 'nombre': 'GOTETA', 'provincia': 'ALICANTE', 'municipio': 'ALICANTE/ALACANT', 'direccion': 'AVENIDA DENIA, 60', 'lat': 38.355389, 'lon': -0.472306, 'grupo': 'GOTETA', 'nifEmpresa': 'J35030568'}","[{'producto': 'Gasóleo Premium', 'litros': 25.31, 'precioUnitario': 1.515, 'importe': 38.34}]",31.69,6.65,38.34,EUR,Factura simplificada
T-01DDDD6EFC81,EMP001,Transporte_01 S.L.,EMP001-U001,2025-01-30,21:41:50,Efectivo,"{'id': '4124', 'nombre': 'BALLENOIL', 'provincia': 'CÓRDOBA', 'municipio': 'PUENTE GENIL', 'direccion': 'CALLE LAUREL, 3', 'lat': 37.399306, 'lon': -4.762528, 'grupo': 'BALLENOIL', 'nifEmpresa': 'B65371171'}","[{'producto': 'Gasóleo A', 'litros': 46.96, 'precioUnitario': 1.414, 'importe': 66.4}]",54.88,11.52,66.4,EUR,Factura simplificada
T-C7ECC0AAE2ED,EMP001,Transporte_01 S.L.,EMP001-U001,2025-06-02,14:38:33,Tarjeta de empresa,"{'id': '2933', 'nombre': 'GRANAOIL', 'provincia': 'CÁCERES', 'municipio': 'MOHEDAS DE GRANADILLA', 'direccion': 'PASEO PASEO DEL CRUCE, 16', 'lat': 40.240528, 'lon': -6.192194, 'grupo': 'GRANAOIL', 'nifEmpresa': 'S2423884B'}","[{'producto': 'Gasóleo A', 'litros': 34.09, 'precioUnitario': 1.476, 'importe': 50.32}]",41.59,8.73,50.32,EUR,Factura simplificada
T-0391D77AC4E5,EMP001,Transporte_01 S.L.,EMP001-U001,2025-07-08,07:06:42,Tarjeta de empresa,"{'id': '7784', 'nombre': 'ROYMAGA PETROLEOS,SL', 'provincia': 'MURCIA', 'municipio': 'CARTAGENA', 'direccion': 'CARRETERA DEL ALBUJON KM. S/N', 'lat': 37.720417, 'lon': -1.021583, 'grupo': 'ROYMAGA PETROLEOS,SL', 'nifEmpresa': 'R2871012G'}","[{'producto': 'Gasóleo Premium', 'litros': 42.17, 'precioUnitario': 1.499, 'importe': 63.21}]",52.24,10.97,63.21,EUR,Factura simplificada
T-08C55318F1B4,EMP001,Transporte_01 S.L.,EMP001-U001,2025-07-29,04:41:07,Tarjeta de empresa,"{'id': '2729', 'nombre': 'BEROIL', 'provincia': 'BURGOS', 'municipio': 'BUNIEL', 'direccion': 'CARRETERA A 62 KM. 14', 'lat': 42.300722, 'lon': -3.835139, 'grupo': 'BEROIL', 'nifEmpresa': 'P6697848G'}","[{'producto': 'Gasolina 98 E5', 'litros': 30.72, 'precioUnitario': 1.712, 'importe': 52.59}]",43.46,9.13,52.59,EUR,Factura simplificada
T-141D191BDFFD,EMP001,Transporte_01 S.L.,EMP001-U001,2025-04-07,00:51:07,Tarjeta de empresa,"{'id': '9967', 'nombre': 'GALP', 'provincia': 'SEVILLA', 'municipio': 'SEVILLA', 'direccion': 'AVENIDA MOLINI, 3', 'lat': 37.369361, 'lon': -5.988139, 'grupo': 'GALP', 'nifEmpresa': 'A28559573'}","[{'producto': 'Gasolina 95 E5', 'litros': 34.53, 'precioUnitario': 1.509, 'importe': 52.11}]",43.07,9.04,52.11,EUR,Factura simplificada
T-A411B888D3A7,EMP001,Transporte_01 S.L.,EMP001-U001,2025-05-12,12:49:57,Tarjeta de empresa,"{'id': '3070', 'nombre': 'REPSOL', 'provincia': 'CÁDIZ', 'municipio': 'CÁDIZ', 'direccion': 'AVENIDA ALCALDE MANUEL DE LA PINTA, 22', 'lat': 36.5025, 'lon': -6.271111, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasóleo A', 'litros': 38.24, 'precioUnitario': 1.437, 'importe': 54.95}]",45.41,9.54,54.95,EUR,Factura simplificada
T-9F653FA8A881,EMP001,Transporte_01 S.L.,EMP001-U001,2025-07-16,14:03:40,Tarjeta de empresa,"{'id': '2799', 'nombre': 'GALP', 'provincia': 'BURGOS', 'municipio': 'OQUILLAS', 'direccion': 'AUTOVIA A-2 KM. 176,6', 'lat': 41.824917, 'lon': -3.703972, 'grupo': 'GALP', 'nifEmpresa': 'A28559573'}","[{'producto': 'Gasóleo A', 'litros': 42.48, 'precioUnitario': 1.442, 'importe': 61.26}]",50.63,10.63,61.26,EUR,Factura simplificada
T-39EA157FBB80,EMP001,Transporte_01 S.L.,EMP001-U001,2025-07-11,05:40:40,Tarjeta de empresa,"{'id': '2567', 'nombre': 'BP PLANAMAR', 'provincia': 'BARCELONA', 'municipio': 'VILASSAR DE MAR', 'direccion': 'CARRETERA NACIONAL II KM. 639,5', 'lat': 41.495722, 'lon': 2.379111, 'grupo': 'BP PLANAMAR', 'nifEmpresa': 'Q1489325I'}","[{'producto': 'Gasóleo A', 'litros': 37.5, 'precioUnitario': 1.428, 'importe': 53.55}]",44.26,9.29,53.55,EUR,Factura simplificada
T-5BFF7133D511,EMP001,Transporte_01 S.L.,EMP001-U001,2025-07-23,11:21:38,Tarjeta de empresa,"{'id': '7405', 'nombre': 'BP ES CARTAMA', 'provincia': 'MÁLAGA', 'municipio': 'CÁRTAMA', 'direccion': 'AUTOVIA A-357 KM. 57', 'lat': 36.720194, 'lon': -4.592056, 'grupo': 'BP ES CARTAMA', 'nifEmpresa': 'Q0957015A'}","[{'producto': 'Gasolina 98 E5', 'litros': 70.23, 'precioUnitario': 1.734, 'importe': 121.78}]",100.64,21.14,121.78,EUR,Factura simplificada
T-23B059440D9F,EMP001,Transporte_01 S.L.,EMP001-U001,2025-06-25,04:17:49,Tarjeta de empresa,"{'id': '10275', 'nombre': 'COPVILAR', 'provincia': 'TARRAGONA', 'municipio': 'VILA-RODONA', 'direccion': 'CARRETERA TP-2003 KM. 0,110', 'lat': 41.306611, 'lon': 1.354611, 'grupo': 'COPVILAR', 'nifEmpresa': 'V11718228'}","[{'producto': 'Gasóleo A', 'litros': 53.69, 'precioUnitario': 1.428, 'importe': 76.67}]",63.36,13.31,76.67,EUR,Factura simplificada
T-E65D4E4723F6,EMP001,Transporte_01 S.L.,EMP001-U001,2025-02-14,10:00:41,Tarjeta de empresa,"{'id': '4925', 'nombre': 'PETROLIS', 'provincia': 'GIRONA', 'municipio': 'OLOT', 'direccion': 'AVENIDA EUROPA - PARCELA, 7', 'lat': 42.192861, 'lon': 2.482639, 'grupo': 'PETROLIS', 'nifEmpresa': 'Q9638346H'}","[{'producto': 'Gasóleo Premium', 'litros': 45.58, 'precioUnitario': 1.539, 'importe': 70.15}]",57.98,12.17,70.15,EUR,Factura simplificada
T-DFA4D3072140,EMP001,Transporte_01 S.L.,EMP001-U001,2025-05-01,15:40:50,Tarjeta de empresa,"{'id': '2361', 'nombre': 'EVOLUTION', 'provincia': 'BARCELONA', 'municipio': 'SANT FELIU DE LLOBREGAT', 'direccion': 'CALLE ARMENTERES, 62', 'lat': 41.376861, 'lon': 2.044806, 'grupo': 'EVOLUTION', 'nifEmpresa': 'X33150988'}","[{'producto': 'Gasóleo A', 'litros': 18.79, 'precioUnitario': 1.426, 'importe': 26.79}]",22.14,4.65,26.79,EUR,Factura simplificada
T-0DBF27A21E84,EMP001,Transporte_01 S.L.,EMP001-U001,2025-06-28,12:09:19,Tarjeta de empresa,"{'id': '10969', 'nombre': 'CARBURANTS+DEL+CAMP+DE+LLUTXENT', 'provincia': 'VALENCIA / VALÈNCIA', 'municipio': 'LLUTXENT', 'direccion': 'CAMI DEL PLA, S/N', 'lat': 38.9405, 'lon': -0.360389, 'grupo': 'CARBURANTS+DEL+CAMP+DE+LLUTXENT', 'nifEmpresa': 'H31051832'}","[{'producto': 'Gasolina 98 E5', 'litros': 36.65, 'precioUnitario': 1.732, 'importe': 63.48}]",52.46,11.02,63.48,EUR,Factura simplificada
T-D1E6AABC3B39,EMP001,Transporte_01 S.L.,EMP001-U001,2025-04-10,15:47:34,Tarjeta de empresa,"{'id': '9955', 'nombre': 'BP', 'provincia': 'SEVILLA', 'municipio': 'SEVILLA', 'direccion': 'AVENIDA MANUEL SIUROT, 5', 'lat': 37.366806, 'lon': -5.984528, 'grupo': 'BP', 'nifEmpresa': 'A28011559'}","[{'producto': 'Gasóleo A', 'litros': 29.17, 'precioUnitario': 1.447, 'importe': 42.21}]",34.88,7.33,42.21,EUR,Factura simplificada
T-A0BD07984C65,EMP001,Transporte_01 S.L.,EMP001-U001,2025-04-27,14:45:46,Efectivo,"{'id': '1417', 'nombre': 'NIEVES', 'provincia': 'BADAJOZ', 'municipio': 'MÉRIDA', 'direccion': 'CALLE POLIGONO INDUSTRIAL EL PRADO CL SUP-PA-01 B8., S/N', 'lat': 38.919111, 'lon': -6.37425, 'grupo': 'NIEVES', 'nifEmpresa': 'V73763112'}","[{'producto': 'Gasolina 98 E5', 'litros': 54.59, 'precioUnitario': 1.682, 'importe': 91.82}]",75.88,15.94,91.82,EUR,Factura simplificada
T-7BF302391EC4,EMP001,Transporte_01 S.L.,EMP001-U001,2025-01-15,17:30:55,Tarjeta de empresa,"{'id': '3593', 'nombre': 'GMR', 'provincia': 'CASTELLÓN / CASTELLÓ', 'municipio': 'ONDA', 'direccion': 'CALLE MEJICO, 7', 'lat': 39.981361, 'lon': -0.156861, 'grupo': 'GMR', 'nifEmpresa': 'H10651339'}","[{'producto': 'Gasóleo Premium', 'litros': 37.02, 'precioUnitario': 1.532, 'importe': 56.71}]",46.87,9.84,56.71,EUR,Factura simplificada
T-A154BDE62C25,EMP001,Transporte_01 S.L.,EMP001-U001,2025-03-24,09:31:34,Tarjeta de empresa,"{'id': '522', 'nombre': 'BALLENOIL', 'provincia': 'ALICANTE', 'municipio': 'PETRER', 'direccion': 'CALLE PRESBITERO CONRADO POVEDA, 1', 'lat': 38.489028, 'lon': -0.783861, 'grupo': 'BALLENOIL', 'nifEmpresa': 'B65371171'}","[{'producto': 'Gasolina 98 E5', 'litros': 16.95, 'precioUnitario': 1.729, 'importe': 29.31}]",24.22,5.09,29.31,EUR,Factura simplificada
T-9E42D5D8A47B,EMP001,Transporte_01 S.L.,EMP001-U001,2025-06-05,23:46:03,Tarjeta de empresa,"{'id': '1915', 'nombre': 'SPAROIL', 'provincia': 'BARCELONA', 'municipio': 'CANYELLES', 'direccion': 'CARRETERA VILAFRANCA KM. 45', 'lat': 41.280222, 'lon': 1.723639, 'grupo': 'SPAROIL', 'nifEmpresa': 'P7810801F'}","[{'producto': 'Gasolina 98 E5', 'litros': 45.06, 'precioUnitario': 1.72, 'importe': 77.5}]",64.05,13.45,77.5,EUR,Factura simplificada
T-E339F21D4C55,EMP001,Transporte_01 S.L.,EMP001-U001,2025-06-11,09:24:28,Tarjeta de empresa,"{'id': '6775', 'nombre': 'SHELL', 'provincia': 'MADRID', 'municipio': 'LOZOYUELA-NAVAS-SIETEIGLESIAS', 'direccion': 'CTRA. N-I km 64,650', 'lat': 40.906667, 'lon': -3.610167, 'grupo': 'SHELL', 'nifEmpresa': 'W6026064C'}","[{'producto': 'Gasolina 98 E5', 'litros': 28.11, 'precioUnitario': 1.721, 'importe': 48.38}]",39.98,8.4,48.38,EUR,Factura simplificada
T-15E73E74FE79,EMP001,Transporte_01 S.L.,EMP001-U001,2025-07-27,16:07:00,Tarjeta de empresa,"{'id': '2341', 'nombre': 'ESCLATOIL', 'provincia': 'BARCELONA', 'municipio': 'SANT CELONI', 'direccion': 'CARRETERA C-35 KM. 56,1', 'lat': 41.687306, 'lon': 2.494722, 'grupo': 'ESCLATOIL', 'nifEmpresa': 'J72343098'}","[{'producto': 'Gasóleo Premium', 'litros': 25.64, 'precioUnitario': 1.483, 'importe': 38.02}]",31.42,6.6,38.02,EUR,Factura simplificada
T-37C84E6070DD,EMP001,Transporte_01 S.L.,EMP001-U001,2025-07-25,19:50:05,Tarjeta de empresa,"{'id': '10365', 'nombre': 'REPSOL', 'provincia': 'TERUEL', 'municipio': 'RUBIELOS DE MORA', 'direccion': 'CR TE - 200, 16,4', 'lat': 40.19075, 'lon': -0.655917, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasolina 95 E5', 'litros': 57.38, 'precioUnitario': 1.511, 'importe': 86.7}]",71.65,15.05,86.7,EUR,Factura simplificada
T-4C853AD27513,EMP001,Transporte_01 S.L.,EMP001-U001,2025-01-07,11:20:12,Efectivo,"{'id': '7947', 'nombre': 'UTE ESTACION DE MURCIA', 'provincia': 'MURCIA', 'municipio': 'MURCIA', 'direccion': 'CALLE BOLOS  EN  MURCIA, 4', 'lat': 37.985667, 'lon': -1.139389, 'grupo': 'UTE ESTACION DE MURCIA', 'nifEmpresa': 'Y08121915'}","[{'producto': 'Gasóleo Premium', 'litros': 23.13, 'precioUnitario': 1.482, 'importe': 34.28}]",28.33,5.95,34.28,EUR,Factura simplificada
T-6CB55F0FE522,EMP001,Transporte_01 S.L.,EMP001-U001,2025-03-06,04:35:08,Efectivo,"{'id': '11273', 'nombre': ' E.S. LA TORRETA', 'provincia': 'VALENCIA / VALÈNCIA', 'municipio': 'VALENCIA', 'direccion': 'CALLE LLANO DE LA ZAIDIA, 6', 'lat': 39.483056, 'lon': -0.3785, 'grupo': ' E.S. LA TORRETA', 'nifEmpresa': 'V39909163'}","[{'producto': 'Gasolina 98 E5', 'litros': 48.11, 'precioUnitario': 1.72, 'importe': 82.75}]",68.39,14.36,82.75,EUR,Factura simplificada
T-B403F1CBEB35,EMP001,Transporte_01 S.L.,EMP001-U001,2025-02-12,13:03:39,Tarjeta de empresa,"{'id': '11427', 'nombre': 'REPSOL', 'provincia': 'VALLADOLID', 'municipio': 'SERRADA', 'direccion': 'CARRETERA C A-610 KM. 26', 'lat': 41.461389, 'lon': -4.861028, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasóleo A', 'litros': 29.11, 'precioUnitario': 1.44, 'importe': 41.92}]",34.64,7.28,41.92,EUR,Factura simplificada
T-CBC4B1FF2E46,EMP001,Transporte_01 S.L.,EMP001-U001,2025-06-18,02:51:57,Tarjeta de empresa,"{'id': '4756', 'nombre': 'E.S. ZESTOA-AVIA', 'provincia': 'GIPUZKOA', 'municipio': 'ZESTOA', 'direccion': 'CARRETERA GI-631 KM. 5,00', 'lat': 43.241444, 'lon': -2.259444, 'grupo': 'E.S. ZESTOA-AVIA', 'nifEmpresa': 'A75107995'}","[{'producto': 'Gasóleo A', 'litros': 31.36, 'precioUnitario': 1.465, 'importe': 45.94}]",37.97,7.97,45.94,EUR,Factura simplificada
T-46F914E251AD,EMP001,Transporte_01 S.L.,EMP001-U001,2025-03-06,01:00:34,Tarjeta de empresa,"{'id': '6777', 'nombre': 'CEPSA', 'provincia': 'MADRID', 'municipio': 'MADRID', 'direccion': 'CALLE SEGOVIA C/V A PASEO VIRGEN DEL PUERTO, S/N', 'lat': 40.413778, 'lon': -3.721472, 'grupo': 'CEPSA', 'nifEmpresa': 'A28003119'}","[{'producto': 'Gasolina 95 E5', 'litros': 13.76, 'precioUnitario': 1.53, 'importe': 21.05}]",17.4,3.65,21.05,EUR,Factura simplificada
T-62B1BD394A06,EMP001,Transporte_01 S.L.,EMP001-U001,2025-07-01,00:15:44,Tarjeta de empresa,"{'id': '2272', 'nombre': 'REPSOL', 'provincia': 'BARCELONA', 'municipio': 'ROCA DEL VALLÈS (LA)', 'direccion': 'CR C-1415, 17,4', 'lat': 41.596694, 'lon': 2.309139, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasóleo A', 'litros': 53.71, 'precioUnitario': 1.389, 'importe': 74.6}]",61.65,12.95,74.6,EUR,Factura simplificada
T-70F517DB78A9,EMP001,Transporte_01 S.L.,EMP001-U001,2025-04-17,08:58:57,Tarjeta de empresa,"{'id': '1018', 'nombre': 'PETROPRIX', 'provincia': 'ASTURIAS', 'municipio': 'GIJÓN', 'direccion': 'AVENIDA DE LOS CAMPONES, 2', 'lat': 43.535667, 'lon': -5.689361, 'grupo': 'PETROPRIX', 'nifEmpresa': 'B23709892'}","[{'producto': 'Gasolina 95 E5', 'litros': 72.8, 'precioUnitario': 1.566, 'importe': 114.0}]",94.21,19.79,114.0,EUR,Factura simplificada
T-F3472B980BE2,EMP001,Transporte_01 S.L.,EMP001-U001,2025-04-15,16:00:10,Tarjeta de empresa,"{'id': '710', 'nombre': 'TRANSPORTES BEARCA S.L.', 'provincia': 'ALMERÍA', 'municipio': 'EJIDO (EL)', 'direccion': 'RAMBLA BERNAL, 19', 'lat': 36.797944, 'lon': -2.727306, 'grupo': 'TRANSPORTES BEARCA S.L.', 'nifEmpresa': 'A98084122'}","[{'producto': 'Gasolina 98 E5', 'litros': 53.2, 'precioUnitario': 1.67, 'importe': 88.84}]",73.42,15.42,88.84,EUR,Factura simplificada
T-D40B1E0849D7,EMP001,Transporte_01 S.L.,EMP001-U001,2025-06-24,18:54:53,Tarjeta de empresa,"{'id': '2464', 'nombre': 'PLENERGY', 'provincia': 'BARCELONA', 'municipio': 'TERRASSA', 'direccion': 'AVENIDA DEL VALLÈS, 720 B', 'lat': 41.580278, 'lon': 2.028583, 'grupo': 'PLENERGY', 'nifEmpresa': 'J24493538'}","[{'producto': 'Gasóleo A', 'litros': 20.81, 'precioUnitario': 1.406, 'importe': 29.26}]",24.18,5.08,29.26,EUR,Factura simplificada
T-01AC6B3F450A,EMP001,Transporte_01 S.L.,EMP001-U001,2025-03-16,13:33:29,Tarjeta de empresa,"{'id': '5407', 'nombre': 'REPSOL', 'provincia': 'GUADALAJARA', 'municipio': 'YEBRA', 'direccion': 'CALLE CONDESA DE SAN RAFAEL, 57', 'lat': 40.358389, 'lon': -2.970472, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasóleo A', 'litros': 21.9, 'precioUnitario': 1.446, 'importe': 31.67}]",26.17,5.5,31.67,EUR,Factura simplificada
T-88651D37A8D5,EMP001,Transporte_01 S.L.,EMP001-U001,2025-04-20,10:54:05,Tarjeta de empresa,"{'id': '561', 'nombre': 'REPSOL', 'provincia': 'ALICANTE', 'municipio': 'SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG', 'direccion': 'CARRETERA AGOST KM. 68', 'lat': 38.401417, 'lon': -0.534111, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasolina 95 E5', 'litros': 34.91, 'precioUnitario': 1.519, 'importe': 53.03}]",43.83,9.2,53.03,EUR,Factura simplificada
T-6B54E39C7938,EMP001,Transporte_01 S.L.,EMP001-U001,2025-07-12,07:45:56,Tarjeta de empresa,"{'id': '8563', 'nombre': 'PETROPRIX', 'provincia': 'PALMAS (LAS)', 'municipio': 'AGÜIMES', 'direccion': 'AVENIDA DEL SURESTE, 1', 'lat': 27.86975, 'lon': -15.430111, 'grupo': 'PETROPRIX', 'nifEmpresa': 'B23709892'}","[{'producto': 'Gasóleo A', 'litros': 39.84, 'precioUnitario': 1.404, 'importe': 55.94}]",46.23,9.71,55.94,EUR,Factura simplificada
T-6B858188190A,EMP001,Transporte_01 S.L.,EMP001-U001,2025-03-14,11:30:59,Tarjeta de empresa,"{'id': '3614', 'nombre': 'COOP. Nª Sª DE LA ASUNCION DE SONEJA', 'provincia': 'CASTELLÓN / CASTELLÓ', 'municipio': 'SONEJA', 'direccion': 'CARRETERA TERUEL, S/N KM. 0', 'lat': 39.813056, 'lon': -0.430833, 'grupo': 'COOP. Nª Sª DE LA ASUNCION DE SONEJA', 'nifEmpresa': 'S8680112C'}","[{'producto': 'Gasolina 98 E5', 'litros': 42.5, 'precioUnitario': 1.675, 'importe': 71.19}]",58.83,12.36,71.19,EUR,Factura simplificada
T-BB5E666399EC,EMP001,Transporte_01 S.L.,EMP001-U001,2025-06-02,16:10:56,Tarjeta de empresa,"{'id': '5436', 'nombre': 'CEPSA', 'provincia': 'HUELVA', 'municipio': 'BOLLULLOS PAR DEL CONDADO', 'direccion': 'AVENIDA 28 DE FEBRERO, 167', 'lat': 37.348222, 'lon': -6.540361, 'grupo': 'CEPSA', 'nifEmpresa': 'A28003119'}","[{'producto': 'Gasolina 95 E5', 'litros': 73.79, 'precioUnitario': 1.536, 'importe': 113.34}]",93.67,19.67,113.34,EUR,Factura simplificada
T-294C3B7B5E08,EMP001,Transporte_01 S.L.,EMP001-U001,2025-01-15,20:07:27,Tarjeta de empresa,"{'id': '1660', 'nombre': 'REPSOL', 'provincia': 'BALEARS (ILLES)', 'municipio': 'PALMA DE MALLORCA', 'direccion': 'CAMI CAMI DE SON RAPINYA ESQ.CAMI DEL REIS, S/N', 'lat': 39.584944, 'lon': 2.618722, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasolina 98 E5', 'litros': 30.26, 'precioUnitario': 1.686, 'importe': 51.02}]",42.17,8.85,51.02,EUR,Factura simplificada
T-170EA430843A,EMP001,Transporte_01 S.L.,EMP001-U001,2025-02-22,00:29:01,Tarjeta de empresa,"{'id': '6662', 'nombre': 'REPSOL', 'provincia': 'MADRID', 'municipio': 'FUENLABRADA', 'direccion': 'CARRETERA M-506 KM. 21,900', 'lat': 40.265972, 'lon': -3.742694, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasóleo A', 'litros': 60.78, 'precioUnitario': 1.458, 'importe': 88.62}]",73.24,15.38,88.62,EUR,Factura simplificada
