tipoDocumento,concesionaria,autopista,fechaHora,categoriaVehiculo,importe,ivaIncluido,formaPago,referencia,idEmpresa,empresaNombre,idUsuario,provincia,tramo,entrada,salida
Peaje,Estatal,AP-7,2025-07-27 13:08:00,LIGEROS,"2,75 €",IVA incluido,Efectivo,PASO-953254C7,EMP001,Transporte_01 S.L.,EMP001-U1,BARCELONA,724 Entronque A-7 – 754 Carretera San Miguel Benijofar,724 Entronque A-7,754 Carretera San Miguel Benijofar
Peaje,Estatal,AP-7,2025-03-06 02:23:08,LIGEROS,"5,50 €",IVA incluido,Tarjeta de empresa,PASO-6B0966C4,EMP001,Transporte_01 S.L.,EMP001-U1,VALENCIA / VALÈNCIA,754 Carretera San Miguel Benijofar – 780 San Javier (Norte)-Sucina,754 Carretera San Miguel Benijofar,780 San Javier (Norte)-Sucina
Peaje,Estatal,AP-61,2025-03-06 02:15:34,LIGEROS,"2,95 €",IVA incluido,Efectivo,PASO-2B89B8ED,EMP001,Transporte_01 S.L.,EMP001-U1,MADRID,San Rafael – Segovia,San Rafael,Segovia
Peaje,Estatal,AP-7,2025-07-01 00:21:44,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-310D35F9,EMP001,Transporte_01 S.L.,EMP001-U1,BARCELONA,754 Carretera San Miguel Benijofar – 786 Los Alcazares (Norte),754 Carretera San Miguel Benijofar,786 Los Alcazares (Norte)
Peaje,Estatal,AP-66,2025-04-17 06:38:57,LIGEROS,"9,95 €",IVA incluido,Tarjeta de empresa,PASO-C4D3BAB5,EMP001,Transporte_01 S.L.,EMP001-U1,ASTURIAS,Oblanca – León,Oblanca,León
Peaje,Estatal,AP-7,2025-06-24 21:28:53,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-517A47C1,EMP001,Transporte_01 S.L.,EMP001-U1,BARCELONA,763 La Zenia Urbanizaciones – 777 El Mirador-Colonia Ruiz de Alda,763 La Zenia Urbanizaciones,777 El Mirador-Colonia Ruiz de Alda
Peaje,Estatal,AP-7,2025-04-20 07:56:05,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-2D643DBC,EMP001,Transporte_01 S.L.,EMP001-U1,ALICANTE,724 Entronque A-7 – 754 Carretera San Miguel Benijofar,724 Entronque A-7,754 Carretera San Miguel Benijofar
Peaje,Estatal,AP-7,2025-03-14 13:03:59,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-543B2F55,EMP001,Transporte_01 S.L.,EMP001-U1,CASTELLÓN / CASTELLÓ,784 San Javier (Sur)-Acceso aeropuerto – 797 Torre del Negro,784 San Javier (Sur)-Acceso aeropuerto,797 Torre del Negro
Peaje,Estatal,AP-61,2025-02-22 01:47:01,LIGEROS,"2,95 €",IVA incluido,Tarjeta de empresa,PASO-A86C6717,EMP001,Transporte_01 S.L.,EMP001-U1,MADRID,San Rafael – El Hontoria,San Rafael,El Hontoria
Peaje,Estatal,AP-61,2025-02-23 18:17:17,LIGEROS,"2,95 €",IVA incluido,Tarjeta de empresa,PASO-BEDB03F2,EMP001,Transporte_01 S.L.,EMP001-U1,MADRID,San Rafael – El Hontoria,San Rafael,El Hontoria
Peaje,Estatal,AP-7,2025-06-08 03:23:09,LIGEROS,"2,75 €",IVA incluido,Efectivo,PASO-C558E806,EMP001,Transporte_01 S.L.,EMP001-U2,BARCELONA,754 Carretera San Miguel Benijofar – 784 San Javier (Sur)-Acceso aeropuerto,754 Carretera San Miguel Benijofar,784 San Javier (Sur)-Acceso aeropuerto
Peaje,Estatal,AP-68,2025-02-16 23:07:18,LIGEROS,"15,85 €",IVA incluido,Tarjeta de empresa,PASO-C06A1F0A,EMP001,Transporte_01 S.L.,EMP001-U2,ZARAGOZA,Lodosa – Zaragoza,Lodosa,Zaragoza
Peaje,Estatal,AP-9,2025-05-05 20:33:54,LIGEROS,"2,50 €",IVA incluido,Efectivo,PASO-C1162A09,EMP001,Transporte_01 S.L.,EMP001-U2,PONTEVEDRA,Cabanas – Guísamo,Cabanas,Guísamo
Peaje,Estatal,AP-7,2025-03-25 05:37:26,LIGEROS,"2,75 €",IVA incluido,Efectivo,PASO-6C2EA672,EMP001,Transporte_01 S.L.,EMP001-U2,VALENCIA / VALÈNCIA,758 San Miguel de Salinas-Torrevieja – 768 Campoamor-Urbanizaciones,758 San Miguel de Salinas-Torrevieja,768 Campoamor-Urbanizaciones
Peaje,Estatal,AP-7,2025-01-12 00:44:00,LIGEROS,"3,70 €",IVA incluido,Tarjeta de empresa,PASO-31964E9A,EMP001,Transporte_01 S.L.,EMP001-U2,ALICANTE,Marbella – Estepona,Marbella,Estepona
Peaje,Estatal,AP-7,2025-06-08 17:52:04,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-62A4B37E,EMP001,Transporte_01 S.L.,EMP001-U2,BARCELONA,Troncal de Los Montesinos – ,Troncal de Los Montesinos,
Peaje,Estatal,AP-7,2025-01-29 23:55:00,LIGEROS,"7,65 €",IVA incluido,Efectivo,PASO-AA962047,EMP001,Transporte_01 S.L.,EMP001-U2,ALICANTE,Málaga – San Pedro de Alcantara,Málaga,San Pedro de Alcantara
Peaje,Estatal,AP-7,2025-07-12 00:05:00,LIGEROS,"3,70 €",IVA incluido,Efectivo,PASO-7C4DB745,EMP001,Transporte_01 S.L.,EMP001-U2,CÁDIZ,Marbella – Estepona,Marbella,Estepona
Peaje,Estatal,AP-7,2025-01-14 10:52:53,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-97B6C59F,EMP001,Transporte_01 S.L.,EMP001-U2,BARCELONA,754 Carretera San Miguel Benijofar – 763 La Zenia Urbanizaciones,754 Carretera San Miguel Benijofar,763 La Zenia Urbanizaciones
Peaje,Estatal,AP-7,2025-05-19 07:34:13,LIGEROS,"2,40 €",IVA incluido,Tarjeta de empresa,PASO-92EEE44F,EMP001,Transporte_01 S.L.,EMP001-U2,ALICANTE,Estepona – Guadiaro,Estepona,Guadiaro
Peaje,Estatal,AP-61,2025-06-16 17:09:48,LIGEROS,"2,95 €",IVA incluido,Tarjeta de empresa,PASO-8C106D61,EMP001,Transporte_01 S.L.,EMP001-U2,MADRID,San Rafael – Segovia,San Rafael,Segovia
Peaje,Estatal,AP-61,2025-01-21 06:20:28,LIGEROS,"1,40 €",IVA incluido,Efectivo,PASO-B697A393,EMP001,Transporte_01 S.L.,EMP001-U2,MADRID,Conexión AP-6 (El Espinar) – Ortigosa,Conexión AP-6 (El Espinar),Ortigosa
Peaje,Estatal,AP-66,2025-07-23 14:46:19,LIGEROS,"9,95 €",IVA incluido,Efectivo,PASO-EC84623E,EMP001,Transporte_01 S.L.,EMP001-U2,LEÓN,Oblanca – León,Oblanca,León
Peaje,Estatal,AP-7,2025-07-24 07:22:45,LIGEROS,"0,00 €",IVA incluido,Tarjeta de empresa,PASO-C02AED09,EMP001,Transporte_01 S.L.,EMP001-U2,BARCELONA,754 Carretera San Miguel Benijofar – 758 San Miguel de Salinas-Torrevieja,754 Carretera San Miguel Benijofar,758 San Miguel de Salinas-Torrevieja
Peaje,Estatal,AP-66,2025-03-10 06:04:25,LIGEROS,"4,15 €",IVA incluido,Tarjeta de empresa,PASO-D7FE907A,EMP001,Transporte_01 S.L.,EMP001-U2,LEÓN,Oblanca – La Magdalena,Oblanca,La Magdalena
Peaje,Estatal,AP-7,2025-01-23 21:53:44,LIGEROS,"7,65 €",IVA incluido,Tarjeta de empresa,PASO-92361559,EMP001,Transporte_01 S.L.,EMP001-U2,VALENCIA / VALÈNCIA,Málaga – San Pedro de Alcantara,Málaga,San Pedro de Alcantara
Peaje,Estatal,AP-61,2025-06-30 16:01:16,LIGEROS,"1,40 €",IVA incluido,Tarjeta de empresa,PASO-4F299FC5,EMP001,Transporte_01 S.L.,EMP001-U2,MADRID,Conexión AP-6 (El Espinar) – Ortigosa,Conexión AP-6 (El Espinar),Ortigosa
Peaje,Estatal,AP-7,2025-06-04 11:26:56,LIGEROS,"5,50 €",IVA incluido,Tarjeta de empresa,PASO-E1F92116,EMP001,Transporte_01 S.L.,EMP001-U2,VALENCIA / VALÈNCIA,763 La Zenia Urbanizaciones – 784 San Javier (Sur)-Acceso aeropuerto,763 La Zenia Urbanizaciones,784 San Javier (Sur)-Acceso aeropuerto
Peaje,Estatal,AP-53,2025-04-20 23:32:58,LIGEROS,"5,15 €",IVA incluido,Tarjeta de empresa,PASO-C7507B49,EMP001,Transporte_01 S.L.,EMP001-U2,PONTEVEDRA,Ribadulla – Lalín Este,Ribadulla,Lalín Este
Peaje,Estatal,AP-7,2025-02-14 07:40:06,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-5DF71664,EMP001,Transporte_01 S.L.,EMP001-U2,MÁLAGA,754 Carretera San Miguel Benijofar – 770 El Pilar de la Horadada (Norte),754 Carretera San Miguel Benijofar,770 El Pilar de la Horadada (Norte)
Peaje,Estatal,AP-61,2025-07-25 05:07:37,LIGEROS,"0,80 €",IVA incluido,Efectivo,PASO-AF5A9778,EMP001,Transporte_01 S.L.,EMP001-U3,MADRID,Conexión AP-6 (El Espinar) – Otero de H.,Conexión AP-6 (El Espinar),Otero de H.
Peaje,Estatal,AP-7,2025-04-06 00:05:00,LIGEROS,"0,00 €",IVA incluido,Tarjeta de empresa,PASO-10BDA2B9,EMP001,Transporte_01 S.L.,EMP001-U3,BARCELONA,754 Carretera San Miguel Benijofar – 758 San Miguel de Salinas-Torrevieja,754 Carretera San Miguel Benijofar,758 San Miguel de Salinas-Torrevieja
Peaje,Estatal,AP-9,2025-06-04 03:59:19,LIGEROS,"1,70 €",IVA incluido,Tarjeta de empresa,PASO-6B63060A,EMP001,Transporte_01 S.L.,EMP001-U3,PONTEVEDRA,Curro – Pontevedra,Curro,Pontevedra
Peaje,Estatal,AP-7,2025-02-17 05:23:02,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-F0B82290,EMP001,Transporte_01 S.L.,EMP001-U3,BARCELONA,Troncal de La Zenia – ,Troncal de La Zenia,
Peaje,Estatal,AP-61,2025-04-22 21:21:59,LIGEROS,"2,15 €",IVA incluido,Tarjeta de empresa,PASO-73CB57A2,EMP001,Transporte_01 S.L.,EMP001-U3,SEGOVIA,Otero de Herreros – Segovia,Otero de Herreros,Segovia
Peaje,Estatal,AP-6,2025-07-21 08:55:31,LIGEROS,"15,15 €",IVA incluido,Tarjeta de empresa,PASO-CA5063C4,EMP001,Transporte_01 S.L.,EMP001-U3,MADRID,Villalba – Adanero,Villalba,Adanero
Peaje,Estatal,AP-61,2025-05-10 13:30:58,LIGEROS,"2,15 €",IVA incluido,Tarjeta de empresa,PASO-94EA68DB,EMP001,Transporte_01 S.L.,EMP001-U3,MADRID,Otero de Herreros – Hontoria,Otero de Herreros,Hontoria
Peaje,Estatal,AP-7,2025-06-28 20:55:18,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-0ACACBC7,EMP001,Transporte_01 S.L.,EMP001-U3,CÁDIZ,784 San Javier (Sur)-Acceso aeropuerto – 786 Los Alcazares (Norte),784 San Javier (Sur)-Acceso aeropuerto,786 Los Alcazares (Norte)
Peaje,Estatal,AP-7,2025-02-27 03:16:56,LIGEROS,"5,50 €",IVA incluido,Tarjeta de empresa,PASO-59D28454,EMP001,Transporte_01 S.L.,EMP001-U3,ALICANTE,770 El Pilar de la Horadada (Norte) – 790 Los Alcazares (Centro)-Torre Pacheco,770 El Pilar de la Horadada (Norte),790 Los Alcazares (Centro)-Torre Pacheco
Peaje,Estatal,AP-61,2025-06-10 06:27:33,LIGEROS,"0,90 €",IVA incluido,Efectivo,PASO-EDF5F368,EMP001,Transporte_01 S.L.,EMP001-U3,MADRID,San Rafael – Otero de Herreros,San Rafael,Otero de Herreros
Peaje,Estatal,AP-6,2025-04-10 13:09:03,LIGEROS,"4,50 €",IVA incluido,Tarjeta de empresa,PASO-7FD41412,EMP001,Transporte_01 S.L.,EMP001-U3,MADRID,Villacastín – Adanero,Villacastín,Adanero
Peaje,Estatal,AP-9,2025-04-14 18:56:36,LIGEROS,"1,10 €",IVA incluido,Efectivo,PASO-EBC2D5E1,EMP001,Transporte_01 S.L.,EMP001-U3,PONTEVEDRA,Fene – Cabanas,Fene,Cabanas
Peaje,Estatal,AP-61,2025-01-11 21:27:28,LIGEROS,"1,55 €",IVA incluido,Tarjeta de empresa,PASO-9DC121F6,EMP001,Transporte_01 S.L.,EMP001-U3,MADRID,Ortigosa del Monte – Segovia,Ortigosa del Monte,Segovia
Peaje,Estatal,AP-7,2025-04-15 00:05:00,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-57F4F19A,EMP001,Transporte_01 S.L.,EMP001-U3,ALICANTE,763 La Zenia Urbanizaciones – 784 San Javier (Sur)-Acceso aeropuerto,763 La Zenia Urbanizaciones,784 San Javier (Sur)-Acceso aeropuerto
Peaje,Estatal,AP-7,2025-06-14 13:47:08,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-79B8D562,EMP001,Transporte_01 S.L.,EMP001-U3,CASTELLÓN / CASTELLÓ,763 La Zenia Urbanizaciones – 782 Balsicas,763 La Zenia Urbanizaciones,782 Balsicas
Peaje,Estatal,AP-7,2025-05-01 13:08:23,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-352E1264,EMP001,Transporte_01 S.L.,EMP001-U3,BARCELONA,754 Carretera San Miguel Benijofar – 763 La Zenia Urbanizaciones,754 Carretera San Miguel Benijofar,763 La Zenia Urbanizaciones
Peaje,Estatal,AP-7,2025-01-31 11:27:25,LIGEROS,"2,75 €",IVA incluido,Efectivo,PASO-8B1A3584,EMP001,Transporte_01 S.L.,EMP001-U3,ALICANTE,763 La Zenia Urbanizaciones – 768 Campoamor-Urbanizaciones,763 La Zenia Urbanizaciones,768 Campoamor-Urbanizaciones
Peaje,Estatal,AP-61,2025-01-07 13:48:36,LIGEROS,"2,95 €",IVA incluido,Tarjeta de empresa,PASO-C9F80DE1,EMP001,Transporte_01 S.L.,EMP001-U3,MADRID,San Rafael – El Hontoria,San Rafael,El Hontoria
Peaje,Estatal,AP-7,2025-01-06 00:11:46,LIGEROS,"1,15 €",IVA incluido,Tarjeta de empresa,PASO-5755925F,EMP001,Transporte_01 S.L.,EMP001-U3,GIRONA,Manilva – Guadiaro,Manilva,Guadiaro
Peaje,Estatal,AP-6,2025-03-21 09:51:48,LIGEROS,"8,75 €",IVA incluido,Tarjeta de empresa,PASO-E08289A9,EMP001,Transporte_01 S.L.,EMP001-U4,MADRID,San Rafael – Adanero,San Rafael,Adanero
Peaje,Estatal,AP-7,2025-01-08 16:34:39,LIGEROS,"5,50 €",IVA incluido,Tarjeta de empresa,PASO-3C690337,EMP001,Transporte_01 S.L.,EMP001-U4,BARCELONA,733 Catral-Albatera – 763 La Zenia Urbanizaciones,733 Catral-Albatera,763 La Zenia Urbanizaciones
Peaje,Estatal,AP-7,2025-01-07 08:39:28,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-EA8EA9D2,EMP001,Transporte_01 S.L.,EMP001-U4,VALENCIA / VALÈNCIA,763 La Zenia Urbanizaciones – 797 Torre del Negro,763 La Zenia Urbanizaciones,797 Torre del Negro
Peaje,Estatal,AP-7,2025-06-19 15:46:37,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-13C44CB0,EMP001,Transporte_01 S.L.,EMP001-U4,BARCELONA,754 Carretera San Miguel Benijofar – 786 Los Alcazares (Norte),754 Carretera San Miguel Benijofar,786 Los Alcazares (Norte)
Peaje,Estatal,AP-7,2025-03-01 20:44:31,LIGEROS,"9,20 €",IVA incluido,Tarjeta de empresa,PASO-3EC73F94,EMP001,Transporte_01 S.L.,EMP001-U4,CÁDIZ,Málaga – Estepona,Málaga,Estepona
Peaje,Estatal,AP-61,2025-05-25 00:05:00,LIGEROS,"1,55 €",IVA incluido,Tarjeta de empresa,PASO-8B74CBDD,EMP001,Transporte_01 S.L.,EMP001-U4,MADRID,Ortigosa del Monte – Segovia,Ortigosa del Monte,Segovia
Peaje,Estatal,AP-7,2025-03-10 12:54:17,LIGEROS,"5,50 €",IVA incluido,Tarjeta de empresa,PASO-E47AC6F6,EMP001,Transporte_01 S.L.,EMP001-U4,VALENCIA / VALÈNCIA,751 Los Montesinos – 777 El Mirador-Colonia Ruiz de Alda,751 Los Montesinos,777 El Mirador-Colonia Ruiz de Alda
Peaje,Estatal,AP-7,2025-07-08 01:32:05,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-899E53A9,EMP001,Transporte_01 S.L.,EMP001-U4,BARCELONA,754 Carretera San Miguel Benijofar – 786 Los Alcazares (Norte),754 Carretera San Miguel Benijofar,786 Los Alcazares (Norte)
Peaje,Estatal,AP-61,2025-05-29 15:53:35,LIGEROS,"0,80 €",IVA incluido,Tarjeta de empresa,PASO-1CD3353B,EMP001,Transporte_01 S.L.,EMP001-U4,MADRID,Conexión AP-6 (El Espinar) – Otero de H.,Conexión AP-6 (El Espinar),Otero de H.
Peaje,Estatal,AP-7,2025-05-15 10:00:16,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-4815F962,EMP001,Transporte_01 S.L.,EMP001-U4,VALENCIA / VALÈNCIA,754 Carretera San Miguel Benijofar – 770 El Pilar de la Horadada (Norte),754 Carretera San Miguel Benijofar,770 El Pilar de la Horadada (Norte)
Peaje,Estatal,AP-61,2025-05-11 03:15:02,LIGEROS,"1,55 €",IVA incluido,Tarjeta de empresa,PASO-AEB52815,EMP001,Transporte_01 S.L.,EMP001-U4,MADRID,Ortigosa del Monte – Hontoria,Ortigosa del Monte,Hontoria
Peaje,Estatal,AP-7,2025-02-11 17:09:54,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-C0EAFEDE,EMP001,Transporte_01 S.L.,EMP001-U4,TARRAGONA,754 Carretera San Miguel Benijofar – 797 Torre del Negro,754 Carretera San Miguel Benijofar,797 Torre del Negro
Peaje,Estatal,AP-61,2025-06-14 13:58:05,LIGEROS,"2,85 €",IVA incluido,Tarjeta de empresa,PASO-842EAE81,EMP001,Transporte_01 S.L.,EMP001-U4,SEGOVIA,Conexión AP-6 (El Espinar) – Segovia,Conexión AP-6 (El Espinar),Segovia
Peaje,Estatal,AP-7,2025-03-11 20:26:00,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-C7BFCF5C,EMP001,Transporte_01 S.L.,EMP001-U4,BARCELONA,754 Carretera San Miguel Benijofar – 763 La Zenia Urbanizaciones,754 Carretera San Miguel Benijofar,763 La Zenia Urbanizaciones
Peaje,Estatal,AP-7,2025-04-04 03:23:54,LIGEROS,"2,75 €",IVA incluido,Efectivo,PASO-1D0E69BC,EMP001,Transporte_01 S.L.,EMP001-U4,MÁLAGA,754 Carretera San Miguel Benijofar – 768 Campoamor-Urbanizaciones,754 Carretera San Miguel Benijofar,768 Campoamor-Urbanizaciones
Peaje,Estatal,AP-7,2025-03-06 00:58:31,LIGEROS,"0,00 €",IVA incluido,Tarjeta de empresa,PASO-77BB3663,EMP001,Transporte_01 S.L.,EMP001-U4,CÁDIZ,754 Carretera San Miguel Benijofar – 758 San Miguel de Salinas-Torrevieja,754 Carretera San Miguel Benijofar,758 San Miguel de Salinas-Torrevieja
Peaje,Estatal,AP-7,2025-01-02 03:54:06,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-6D819636,EMP001,Transporte_01 S.L.,EMP001-U4,GIRONA,754 Carretera San Miguel Benijofar – 780 San Javier (Norte)-Sucina,754 Carretera San Miguel Benijofar,780 San Javier (Norte)-Sucina
Peaje,Estatal,AP-7,2025-05-29 19:09:30,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-B70AE01C,EMP001,Transporte_01 S.L.,EMP001-U4,BARCELONA,763 La Zenia Urbanizaciones – 800 Los Beatos-El Algar,763 La Zenia Urbanizaciones,800 Los Beatos-El Algar
Peaje,Estatal,AP-7,2025-06-23 15:44:11,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-A4F9251E,EMP001,Transporte_01 S.L.,EMP001-U4,CASTELLÓN / CASTELLÓ,758 San Miguel de Salinas-Torrevieja – 763 La Zenia Urbanizaciones,758 San Miguel de Salinas-Torrevieja,763 La Zenia Urbanizaciones
Peaje,Estatal,AP-7,2025-06-08 00:05:00,LIGEROS,"2,40 €",IVA incluido,Tarjeta de empresa,PASO-0EDD0F1E,EMP001,Transporte_01 S.L.,EMP001-U4,MÁLAGA,Estepona – Guadiaro,Estepona,Guadiaro
Peaje,Estatal,AP-7,2025-03-16 08:43:14,LIGEROS,"1,15 €",IVA incluido,Tarjeta de empresa,PASO-A815BB74,EMP001,Transporte_01 S.L.,EMP001-U4,ALICANTE,Acceso de Manilva – ,Acceso de Manilva,
Peaje,Estatal,AP-7,2025-05-20 17:58:14,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-77EB6187,EMP001,Transporte_01 S.L.,EMP001-U4,ALICANTE,763 La Zenia Urbanizaciones – 790 Los Alcazares (Centro)-Torre Pacheco,763 La Zenia Urbanizaciones,790 Los Alcazares (Centro)-Torre Pacheco
Peaje,Estatal,AP-7,2025-03-31 22:19:03,LIGEROS,"5,50 €",IVA incluido,Tarjeta de empresa,PASO-81BC0CAA,EMP001,Transporte_01 S.L.,EMP001-U4,TARRAGONA,745 CV90-Torrevieja – 775 Los Tárragas,745 CV90-Torrevieja,775 Los Tárragas
Peaje,Estatal,AP-7,2025-07-19 19:28:26,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-DCE5AFF3,EMP001,Transporte_01 S.L.,EMP001-U5,GIRONA,763 La Zenia Urbanizaciones – 777 El Mirador-Colonia Ruiz de Alda,763 La Zenia Urbanizaciones,777 El Mirador-Colonia Ruiz de Alda
Peaje,Estatal,AP-66,2025-02-16 02:57:05,LIGEROS,"6,10 €",IVA incluido,Tarjeta de empresa,PASO-7961D1F1,EMP001,Transporte_01 S.L.,EMP001-U5,ASTURIAS,La Magdalena – León,La Magdalena,León
